Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Label
2.57,-1.1287417331619043,0.07433969202396735,-1.0303896514547086,Jumping
2.58,-1.0969293625990748,0.09903791559863181,-1.0546654286555144,Jumping
2.59,-1.0291551818347862,0.1601098866196199,-1.127492760257932,Jumping
2.6,-0.8749343419323743,0.27926010459193995,-1.1196898318719588,Jumping
2.61,-0.8175337602646603,0.39174928650927476,-1.0616013649986018,Jumping
2.62,-0.9364843632387181,0.3826184280968231,-1.0980150307998107,Jumping
2.63,-1.1156018409729096,0.2865198854608564,-1.1352956886439054,Jumping
2.64,-1.3078592108960958,0.16093316073877537,-1.1240247920863884,Jumping
2.65,-1.563741321944941,-0.004919152720182649,-1.2003200918603498,Jumping
2.66,-1.7172705885742479,-0.15587768893260062,-1.2982901927064592,Jumping
2.67,-1.6820003516458937,-0.1783306194550228,-1.2870192961489422,Jumping
2.68,-1.5519845763021562,-0.11291774853303299,-1.2566745746479346,Jumping
2.69,-1.4164362147735787,-0.04331366391352445,-1.2402017258331022,Jumping
2.7,-1.2940277454339957,0.01236960378208237,-1.1899161873457187,Jumping
2.71,-1.1660866899095739,0.06266416815230795,-1.165640410144913,Jumping
2.73,-1.0499023800279357,0.10891720502849746,-1.162172441973369,Jumping
2.74,-0.9786703328981219,0.14783561793402916,-1.119689831871959,Jumping
2.75,-0.8936068203062087,0.19184336175797656,-1.0659363252130314,Jumping
2.76,-0.7864129629749357,0.23719828141326918,-1.0078478583396746,Jumping
2.77,-0.6432572954422034,0.2870437871730463,-0.9575623198522908,Jumping
2.78,-0.5090920804598361,0.32686031729947485,-0.9124787336222229,Jumping
2.79,-0.40743080931340325,0.33135090340395923,-0.851789290620208,Jumping
2.8,-0.32859145617943475,0.296923076602912,-0.8127746486903414,Jumping
2.81,-0.3050779648938652,0.21684095773960643,-0.7798289510606764,Jumping
2.82,-0.2967790856166055,0.11969461167926009,-0.6905287706434262,Jumping
2.83,-0.2239564199586503,0.05742515103040943,-0.5934256618402026,Jumping
2.84,-0.2156575406813905,-0.02894378837917429,-0.5509430517387923,Jumping
2.85,-0.17070527792956636,-0.09166230763847333,-0.49025360873677754,Jumping
2.86,-0.09601536443422783,-0.09914661781261401,-0.4651108394930858,Jumping
