Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Label
1.61,-1.88203475603416,-0.4629942399392218,-1.151957640921074,Walking
1.62,-1.734144572906837,-0.4875034896686949,-1.3592444410159414,Walking
1.63,-1.4676341387294731,-0.4416474740458098,-1.529341550505553,Walking
1.64,-1.1273326652625388,-0.3483542008820087,-1.582382584647475,Walking
1.65,-0.7502126982878647,-0.23205385781086346,-1.4726425140090158,Walking
1.66,-0.37617377679500985,-0.11899506067168077,-1.1775880440857454,Walking
1.67,-0.04496138749944235,-0.03147332050869115,-0.7300924227044734,Walking
1.68,0.2292516603824694,0.00023057994782092246,-0.2905224730915345,Walking
1.69,0.44893020323618066,-0.05590350814226277,0.025406996935407163,Walking
1.7,0.612533718320782,-0.217269245877278,0.17904309582924985,Walking
1.71,0.7206784147326372,-0.47422105755723853,0.20662443358304927,Walking
1.72,0.7907721994440248,-0.7728385937773032,0.18534705322037023,Walking
1.73,0.8308257907076748,-1.0480537496105164,0.18900505557498554,Walking
1.74,0.8446904953758612,-1.2789150696429734,0.2492401610143175,Walking
1.75,0.8362176203008583,-1.4591766482984532,0.40409559402636536,Walking
1.76,0.8023261200008468,-1.5627479939294528,0.6393051454281294,Walking
1.77,0.7283810284371851,-1.5967446951671092,0.8568953188218297,Walking
1.78,0.6030595034641879,-1.5769791711917276,0.9958994082972112,Walking
1.79,0.4258223621225365,-1.485267139945957,1.0330890989024668,Walking
1.8,0.2039870874315517,-1.3113305289625992,0.9477357106281096,Walking
1.81,-0.04172628974353213,-1.0694005155039283,0.7489842493606782,Walking
1.82,-0.2573994734708785,-0.7690436131740302,0.525907072435055,Walking
1.83,-0.413993610084341,-0.4556968084875107,0.3587363648291356,Walking
1.84,-0.5032669029200532,-0.143717778060088,0.2947213236233678,Walking
1.85,-0.5194423916996043,0.1669962588329104,0.32337567540118767,Walking
1.86,-0.47630775495413497,0.4524104250374204,0.42275140603490347,Walking
1.87,-0.4226975635704803,0.6849320490838092,0.5641331970407849,Walking
1.88,-0.35576185047795744,0.8775826581670585,0.7245975669965762,Walking
1.89,-0.2625371168118121,1.02890750972258,0.8629919894128552,Walking
1.9,-0.15084921809586485,1.125363266722442,0.9404197059188791,Walking
1.91,-0.008890047521043654,1.1482912745338847,0.9745610612286218,Walking
1.92,0.19245627471584323,1.092947807402816,0.9873640694697755,Walking
1.93,0.41051726869159944,0.990167082730832,0.9904124047652884,Walking
1.94,0.6138431626505552,0.8755270436736189,1.0074830824201595,Walking
1.95,0.8094895507460764,0.7830243914688331,1.056866114207466,Walking
1.96,0.9879591102804555,0.7490276902311768,1.1202714883541314,Walking
1.97,1.1250656342214114,0.7933024639360315,1.183676862500797,Walking
1.98,1.2459966693828164,0.903198777239153,1.2257438895788728,Walking
1.99,1.3692384886555857,1.0486730336979615,1.2367178966427186,Walking
2.0,1.4824669101124424,1.198100394951846,1.223914888401565,Walking
2.01,1.5787495814192936,1.3277622322303495,1.1958702036828477,Walking
2.02,1.6396002296852232,1.413939916763013,1.1410001683636182,Walking
2.03,1.6619378094284125,1.4487272389596848,1.0519887777346457,Walking
2.04,1.6426812751670423,1.4281710940252876,0.9318843670914434,Walking
2.05,1.575668535937474,1.3459465142877005,0.7776386011384981,Walking
2.06,1.428548614180606,1.1664755565912357,0.5438678639962161,Walking
2.07,1.143397854838236,0.852124663286767,0.10673658261968741,Walking
2.08,0.6974165213449017,0.40937692623821953,-0.5059788117783759,Walking
2.09,0.1551525165447168,-0.11717663246594563,-1.1028428626397728,Walking
2.1,-0.4009761929236548,-0.6413583282930652,-1.6094761887539923,Walking
2.11,-0.8739166743829071,-1.0422031545138035,-1.9951271836599016,Walking
2.12,-1.1418135790270894,-1.2251528444299356,-2.1554696202038723,Walking
2.13,-1.1225570447657192,-1.1674375144218214,-2.1158412613622066,Walking
2.14,-0.8373292592863035,-0.9177594155648011,-2.024391202496824,Walking
2.15,-0.39905053949751773,-0.6225415494685019,-1.9091641283264422,Walking
2.16,0.0646468055162768,-0.4082832695753655,-1.7262640105956772,Walking
2.17,0.4513180134845905,-0.33001179463285446,-1.429356152812735,Walking
2.18,0.6924098224369455,-0.4019583019032434,-1.024525032227459,Walking
2.19,0.7630427901076514,-0.5828523773259356,-0.6044034617998917,Walking
2.2,0.7199081533621822,-0.7689645510781287,-0.2485407994017329,Walking
2.21,0.6166931297212378,-0.902579493151708,-0.008271011409417725,Walking
2.22,0.4624097772191398,-0.9871759357663413,0.09281178698978514,Walking
2.23,0.19435882030086654,-1.0512162334465776,0.05115933351189891,Walking
2.24,-0.17536663751744144,-1.1239533616759818,-0.07937038384195719,Walking
2.25,-0.5889969934516734,-1.2417558845692558,-0.20538856495845434,Walking
2.26,-0.9587224512699813,-1.386439520069049,-0.23923118340923696,Walking
2.27,-1.1764753406975557,-1.4923827285770945,-0.16899753820062313,Walking
2.28,-1.1279488743589028,-1.484476518986942,-0.018836541543664924,Walking
2.29,-0.8388697820272132,-1.3342585367740418,0.18357292207838183,Walking
2.3,-0.41291524416570435,-1.0204610781408838,0.37622771275478784,Walking
2.31,0.04076870303217774,-0.5826942531341326,0.4789017421782483,Walking
2.32,0.4490072293732262,-0.08302180703648629,0.49475308571491466,Walking
2.33,0.7786790959278842,0.3976757360447937,0.47951140923735086,Walking
2.34,1.0033643376895518,0.8190767071999291,0.4654890668779922,Walking
2.35,1.1219845887395923,1.1543790559183023,0.46305039864158204,Walking
2.36,1.1566463504100588,1.3957556347056619,0.49780142101042735,Walking
2.37,1.1150522364054989,1.5333236815743179,0.5831548092847844,Walking
2.38,0.9879591102804555,1.5799703181562184,0.6996012175733717,Walking
2.39,0.7859195528101593,1.5183018833530277,0.836166638812343,Walking
2.4,0.523645556170297,1.3198560226401965,0.9696837247558016,Walking
2.41,0.22016257621110252,1.0006032793898336,1.0788141283351582,Walking
2.42,-0.094874324304914,0.6124083885133392,1.1397808342454132,Walking
2.43,-0.38757364507774117,0.21551666708767708,1.1452678377773362,Walking
2.44,-0.6184209778030472,-0.09994109555941295,1.0916171365763117,Walking
2.45,-0.7528315869474111,-0.2558515486772228,1.0105314177156723,Walking
2.46,-0.7859528258769679,-0.26146495748623116,0.9263973635595205,Walking
2.47,-0.7420479277610439,-0.156146339535808,0.8477503129352915,Walking
2.48,-0.6511570860473765,0.002531286938555313,0.7727612646656777,Walking
2.49,-0.5295328156525623,0.15717674652194083,0.6947238811005514,Walking
2.51,-0.3917330564781972,0.27624426294963944,0.6038834892942713,Walking
2.52,-0.25561246709142343,0.3742812618675321,0.4978014210104274,Walking
2.53,-0.13098417735183543,0.4650366417528941,0.37787991048495573,Walking
2.54,-0.013904449042704561,0.5601483431224303,0.246252792424715,Walking
2.55,0.08453495410141992,0.6553391065878681,0.09944496459282089,Walking
2.56,0.14392210576348566,0.7340849541057882,-0.05175246606461162,Walking
2.57,0.1645497052642654,0.7822337705098177,-0.22367857673153088,Walking
2.58,0.16077542454903687,0.7877681172229246,-0.44273195106707725,Walking
2.59,0.1294180841578216,0.7302109114066135,-0.7177527614282377,Walking
2.6,0.06263642333938974,0.5841041581805928,-1.0251468926277438,Walking
2.61,-0.027638209277913793,0.3816261305767839,-1.2574300421458156,Walking
2.62,-0.12345872376249196,0.19583020520819705,-1.3470510998338905,Walking
2.63,-0.1879296004695594,0.0767626887804984,-1.2952293998101738,Walking
2.64,-0.19985324648419983,0.04624471976250926,-1.1214742879659467,Walking
2.65,-0.1562564529164577,0.11107563840176084,-0.8587077854927473,Walking
2.66,-0.06613587257324512,0.23219876932289915,-0.6288633042110859,Walking
2.67,0.042393954523837374,0.33671886010471697,-0.49290755003121717,Walking
2.68,0.12165384954363714,0.3788589572202305,-0.4313311770618596,Walking
2.69,0.1666294109644934,0.36055608201902717,-0.4099928299932703,Walking
2.7,0.20236953855359652,0.3118301123149164,-0.40633482763865497,Walking
2.71,0.24411770483224715,0.2569452053400769,-0.41730883470250096,Walking
2.72,0.2972657393936289,0.21334245945038513,-0.4490115217758336,Walking
2.73,0.35495831604069406,0.19159010500499818,-0.4971752194449351,Walking
2.74,0.3933173322893434,0.19898241097179092,-0.5471679182913441,Walking
2.75,0.36959328207933534,0.24154153719558252,-0.5770416041873692,Walking
2.76,0.25844456632270657,0.3256003575580853,-0.5672869312417284,Walking
2.77,0.08513575797037468,0.43861962364931717,-0.5158919981593834,Walking
2.78,-0.13438873260924566,0.5586461633003013,-0.42413710576444946,Walking
2.79,-0.40475047363888333,0.6615850121640886,-0.3122022337132212,Walking
2.8,-0.7130090740948977,0.7316340291328408,-0.2169722390814028,Walking
2.81,-1.0463011690906932,0.75851514173936,-0.1676501740000065,Walking
2.82,-1.4137158427976366,0.7577245207803446,-0.16917434164776285,Walking
2.83,-1.7903736529500378,0.7521901740672379,-0.22008154108282582,Walking
2.84,-2.1123429058001477,0.7632588674934515,-0.31006839900636224,Walking
2.85,-2.317232430341127,0.7956743268130773,-0.4235884054112572,Walking
2.86,-2.3665291580502346,0.8257179232556573,-0.5533865222941903,Walking
2.87,-2.307219032525215,0.7931443397442284,-0.6892203430622384,Walking
2.88,-2.2186389749229116,0.6574737831772092,-0.8239567631239021,Walking
2.89,-2.139302053766066,0.41870625355459967,-0.9574738490673605,Walking
2.9,-2.0807621896115007,0.09850476515341813,-1.110500280902101,Walking
2.91,-2.015289973122842,-0.24067162626412983,-1.3287610880608138,Walking
2.92,-1.8681700513659738,-0.5006277975883484,-1.5982339281841413,Walking
2.93,-1.5978083103363359,-0.6195371898242439,-1.770769705910163,Walking
2.94,-1.23963677307485,-0.6171653269471982,-1.7561376964917017,Walking
2.95,-0.8366360240528943,-0.5317782633735497,-1.5191601106185404,Walking
2.96,-0.4479621365213982,-0.4108132566442144,-1.0497164751095764,Walking
2.97,-0.11366870174401135,-0.30487004813616914,-0.4083467289336934,Walking
2.98,0.16285513024926482,-0.268501484021467,0.2141233384100107,Walking
2.99,0.39316328001525247,-0.30803253197223024,0.6957603151010257,Walking
3.0,0.5701693429457674,-0.4210913291114127,1.0080927494792622,Walking
3.01,0.6929490053962637,-0.6124216011931066,1.1690448530823356,Walking
3.02,0.7630427901076513,-0.8749077595861738,1.199528206037463,Walking
3.03,0.7876911539622053,-1.1982717318234166,1.1678255189641302,Walking
3.04,0.7969342904076631,-1.569072961601575,1.104420144817465,Walking
3.05,0.8138800405576688,-1.9675459249452676,1.0208957577204156,Walking
3.06,0.8392986657826776,-2.346253364313579,0.9087170188455465,Walking
3.07,0.8331365748190391,-2.646689328739379,0.7666645940746523,Walking
3.08,0.7309228909596858,-2.784257375608035,0.5285286407891959,Walking
3.09,0.5321184312452999,-2.692545344362264,0.2450334583065099,Walking
3.1,0.2901023086483991,-2.358112678698808,-0.014075041812074016,Walking
3.11,0.02436213584149027,-1.8355122247897186,-0.17027174235414744,Walking
3.12,-0.21210810488813586,-1.2234134783201018,-0.17271041059055764,Walking
3.13,-0.32772433659340255,-0.6087847447816365,0.01909084620310475,Walking
3.14,-0.32618381385249295,-0.07037187169224211,0.33672738399553354,Walking
3.15,-0.2550886893595142,0.3510290994628932,0.6964309488660385,Walking
3.16,-0.12476046547856062,0.6664868621099833,1.008702416538365,Walking
3.17,0.0339133768351299,0.912211856171927,1.2281825578152827,Walking
3.18,0.18473055317018133,1.0937384283618314,1.3495063025766905,Walking
